Person.ID,First.name,Last.name,Party,Constituency,PCON22CD,DisplayName,SocialistCampaignGroup,TribuneGroup,OneNation,TRG_Patron,ERG_Subscriber
11531,Andrew,Gwynne,Labour,Denton and Reddish,E14000661,Andrew GWYNNE (Denton and Reddish),0,1,0,0,0
25357,Louise,Haigh,Labour,"Sheffield, Heeley",E14000923,"Louise HAIGH (Sheffield, Heeley)",0,1,0,0,0
24784,Robert,Halfon,Conservative,Harlow,E14000729,Robert HALFON (Harlow),0,0,1,0,0
25373,Luke,Hall,Conservative,Thornbury and Yate,E14000994,Luke HALL (Thornbury and Yate),0,0,0,0,0
10256,Fabian,Hamilton,Labour,Leeds North East,E14000779,Fabian HAMILTON (Leeds North East),0,0,0,0,0
26061,Paulette,Hamilton,Labour,"Birmingham, Erdington",E14000561,"Paulette HAMILTON (Birmingham, Erdington)",0,0,0,0,0
11927,Stephen,Hammond,Conservative,Wimbledon,E14001040,Stephen HAMMOND (Wimbledon),0,0,1,0,0
24773,Matthew,Hancock,Conservative,West Suffolk,E14001034,Matthew HANCOCK (West Suffolk),0,0,1,0,0
11610,Greg,Hands,Conservative,Chelsea and Fulham,E14000629,Greg HANDS (Chelsea and Fulham),0,0,0,0,0
25447,Claire,Hanna,Social Democratic and Labour Party,Belfast South,N06000003,Claire HANNA (Belfast South),0,0,0,0,0
25873,Neale,Hanvey,Alba,Kirkcaldy and Cowdenbeath,S14000041,Neale HANVEY (Kirkcaldy and Cowdenbeath),0,0,0,0,0
25646,Emma,Hardy,Labour,Kingston upon Hull West and Hessle,E14000773,Emma HARDY (Kingston upon Hull West and Hessle),0,1,0,0,0
10260,Harriet,Harman,Labour,Camberwell and Peckham,E14000615,Harriet HARMAN (Camberwell and Peckham),0,0,0,0,0
11588,Mark,Harper,Conservative,Forest of Dean,E14000705,Mark HARPER (Forest of Dean),0,0,0,0,0
25308,Carolyn,Harris,Labour,Swansea East,W07000048,Carolyn HARRIS (Swansea East),0,0,0,0,0
24731,Rebecca,Harris,Conservative,Castle Point,E14000622,Rebecca HARRIS (Castle Point),0,0,0,0,0
25600,Trudy,Harrison,Conservative,Copeland,E14000647,Trudy HARRISON (Copeland),0,0,0,0,0
25902,Sally-Ann,Hart,Conservative,Hastings and Rye,E14000735,Sally-Ann HART (Hastings and Rye),0,0,0,0,0
24813,Simon,Hart,Conservative,Carmarthen West and South Pembrokeshire,W07000066,Simon HART (Carmarthen West and South Pembrokeshire),0,0,0,0,0
25310,Helen,Hayes,Labour,Dulwich and West Norwood,E14000673,Helen HAYES (Dulwich and West Norwood),0,0,0,0,0
10265,John,Hayes,Conservative,South Holland and The Deepings,E14000939,John HAYES (South Holland and The Deepings),0,0,0,0,0
